QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,isValid
USCBS.102980.R06C,No,71,Would you consider voting for any of the other candidates (aside from your first choice) for President (in 1980)? (If yes) Who?,,Probable electorate,10/29/1980,CBS News,,CBS News Poll,10/26/1980,10/27/1980,Y,Registered voters,1259,,Telephone Interview,Respondents were weighted according to their probability of voting to produce a probable electorate,False
USCBS.102980.R06C,"Yes, Carter",6,Would you consider voting for any of the other candidates (aside from your first choice) for President (in 1980)? (If yes) Who?,,Probable electorate,10/29/1980,CBS News,,CBS News Poll,10/26/1980,10/27/1980,Y,Registered voters,1259,,Telephone Interview,Respondents were weighted according to their probability of voting to produce a probable electorate,False
USCBS.102980.R06C,"Yes, Reagan",6,Would you consider voting for any of the other candidates (aside from your first choice) for President (in 1980)? (If yes) Who?,,Probable electorate,10/29/1980,CBS News,,CBS News Poll,10/26/1980,10/27/1980,Y,Registered voters,1259,,Telephone Interview,Respondents were weighted according to their probability of voting to produce a probable electorate,False
USCBS.102980.R06C,"Yes, Anderson",10,Would you consider voting for any of the other candidates (aside from your first choice) for President (in 1980)? (If yes) Who?,,Probable electorate,10/29/1980,CBS News,,CBS News Poll,10/26/1980,10/27/1980,Y,Registered voters,1259,,Telephone Interview,Respondents were weighted according to their probability of voting to produce a probable electorate,False
USCBS.102980.R06C,"Yes, both of the others",2,Would you consider voting for any of the other candidates (aside from your first choice) for President (in 1980)? (If yes) Who?,,Probable electorate,10/29/1980,CBS News,,CBS News Poll,10/26/1980,10/27/1980,Y,Registered voters,1259,,Telephone Interview,Respondents were weighted according to their probability of voting to produce a probable electorate,False
USCBS.102980.R06C,"Yes, someone else",2,Would you consider voting for any of the other candidates (aside from your first choice) for President (in 1980)? (If yes) Who?,,Probable electorate,10/29/1980,CBS News,,CBS News Poll,10/26/1980,10/27/1980,Y,Registered voters,1259,,Telephone Interview,Respondents were weighted according to their probability of voting to produce a probable electorate,False
USCBS.102980.R06C,No opinion,3,Would you consider voting for any of the other candidates (aside from your first choice) for President (in 1980)? (If yes) Who?,,Probable electorate,10/29/1980,CBS News,,CBS News Poll,10/26/1980,10/27/1980,Y,Registered voters,1259,,Telephone Interview,Respondents were weighted according to their probability of voting to produce a probable electorate,False
USABCHS.102880.R4,Reagan,43,"Now, if you had to choose between Ronald Reagan, Jimmy Carter and John Anderson, which one do you feel would inspire more confidence in the White House?",,,10/28/1980,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,10/22/1980,10/26/1980,Y,Likely voters,5984,,Telephone Interview,,False
USABCHS.102880.R4,Carter,35,"Now, if you had to choose between Ronald Reagan, Jimmy Carter and John Anderson, which one do you feel would inspire more confidence in the White House?",,,10/28/1980,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,10/22/1980,10/26/1980,Y,Likely voters,5984,,Telephone Interview,,False
USABCHS.102880.R4,Anderson,12,"Now, if you had to choose between Ronald Reagan, Jimmy Carter and John Anderson, which one do you feel would inspire more confidence in the White House?",,,10/28/1980,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,10/22/1980,10/26/1980,Y,Likely voters,5984,,Telephone Interview,,False
USABCHS.102880.R4,None (vol.),3,"Now, if you had to choose between Ronald Reagan, Jimmy Carter and John Anderson, which one do you feel would inspire more confidence in the White House?",,,10/28/1980,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,10/22/1980,10/26/1980,Y,Likely voters,5984,,Telephone Interview,,False
