QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USCPS.84PRE.QK05A,"I'd like to get your feelings toward some of our political leaders and other people who are in the news these days. I will use something we call the feeling thermometer and here is how it works: I'll read the name of a person and I'd like you to rate that person using the feeling thermometer. Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the person. Ratings between 0 degrees and 50 degrees mean that you don't feel favorable toward the person and that you don't care too much for that person. If we come to a person whose name you don't recognize, you don't need to rate that person. Just tell me and we'll move on to the next one. If you do recognize the name, but you don't feel particularly warm or cold toward the person, you would rate the person at the 50 degree mark.... (President) Ronald Reagan. How would you rate him using the thermometer?",Mean = 61.21,nan,08/1/1985,"Survey Research Center at University of Michigan (ANES American National Election Studies); Center for Political Studies, University of Michigan",National Science Foundation (NSF),American National Election Study 1984 (Pre-Election),09/5/1984,11/5/1984,Y,National adult,2241,nan,Face-to-face interview,"A post election survey with re-interviews of 1989 (84%) of the pre-election respondents was conducted November 07, 1984-January 25, 1985.",63.0,31.0,1.0
USCBSNYT.84OCT4.Q09E,"(I'm going to name some candidates (1984) and ask what you think of them.  If you haven't heard much about someone I name, just tell me.)  Is your opinion of...Ronald Reagan favorable, not favorable, undecided, or haven't you heard enough about...Ronald Reagan? (If Don't know, ask:) Are you undecided or have you not heard enough about him/her?",nan,Asked of Registered voters (77%),11/30/1984,CBS News; New York Times,nan,CBS News/New York Times Poll,10/31/1984,11/2/1984,Y,National adult,1994,nan,Telephone Interview,nan,59.0,30.0,12.0
USCBSNYT.041290.R59,"Is your opinion of Ronald Reagan favorable, not favorable, undecided, or haven't you heard enough about Ronald Reagan yet to have an opinion?",nan,Asked of Black Americans,04/12/1990,CBS News; New York Times,nan,CBS News/New York Times Poll,03/30/1990,04/2/1990,Y,National Adult,1515,nan,Telephone Interview,nan,45.0,35.0,20.0
USCBSNYT.OC84-3.R09E,"(I'm going to name some candidates and ask what you think of them. If you haven't heard much about someone I name, just tell me.) Is your opinion of...Ronald Reagan...favorable, not favorable, undecided, or haven't you heard enough about...Ronald Reagan ...yet to have an opinion? (If 'don't know,' ask:) Are you undecided or have you not heard enough about him?",nan,nan,10/31/1984,CBS News; New York Times,nan,CBS News/New York Times Poll,10/23/1984,10/25/1984,Y,National Adult,1463,nan,Telephone Interview,nan,56.0,30.0,14.0
USCBSNYT.080084.R10A,"I'm going to name some candidates and ask what you think of them. If you haven't heard much about someone I name, just tell me. Is your opinion of...Ronald Reagan...favorable, not favorable, undecided, or haven't you heard enough about...Ronald Reagan...yet to have an opinion? (If 'don't know', ask:) Are you undecided or have you not heard enough about him?",nan,Registered voters (74%),08/1/1984,CBS News; New York Times,nan,CBS News/New York Times Poll,08/5/1984,08/9/1984,Y,National Adult,1616,nan,Telephone Interview,nan,52.0,29.0,18.0
USGREEN.04BOLDP.R021,"(Now, I'd like to again rate your feelings toward some people, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold. You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization. If you have no opinion of never heard of that person or organization, please say so.)...Ronald Reagan",Mean = 61.9,nan,04/29/2004,Greenberg Quinlan Rosner Research,Public Interest Project,Toward A Bold Politics Survey,04/5/2004,04/8/2004,Y,National registered likely voters (see note),1000,nan,Telephone Interview,National registered likely voters are registered voters who voted in the 2000 Presidential election/were ineligible/too young to vote or who didn't vote in the 2000 election but did vote in the 2002 Congressional election,59.0,27.0,14.0
USPENN.101884.R04,"For each of the following people, please tell me if you know the person, and, if so, whether you are very favorable, somewhat favorable, somewhat unfavorable or very unfavorable towards the person...Ronald Reagan.",nan,nan,10/18/1984,Penn & Schoen Associates,Garth Analysis,Garth Analysis Survey,10/10/1984,10/12/1984,Y,Registered voters,1001,nan,Telephone Interview,nan,64.0,33.0,4.0
USGALLUP.85NWSM.R007A,"I'd like your opinion of some people and organizations. As I read from a list, please tell me which category on this card best describes your overall opinion of who or what I name. Probably, there will be some people and organizations on this list that you have never heard of. How would you describe your opinion of... Ronald Reagan?",nan,nan,03/1/1986,Gallup Organization,Times Mirror Center for the People & the Press,People & The Press--Main Survey,06/22/1985,07/13/1985,Y,National adult,2104,nan,Face-to-face interview,nan,69.0,28.0,3.0
USLAT.88.R064,"What is your impression of President Ronald Reagan? As of today, is it very favorable, or somewhat favorable, or somewhat unfavorable or very unfavorable--or haven't you heard enough about him yet to say?",nan,nan,09/1/1984,Los Angeles Times,nan,Los Angeles Times Poll,08/24/1984,08/30/1984,Y,National adult,2056,nan,Telephone Interview,nan,70.0,28.0,2.0
USGALNEW.88271.Q04F,"I'd like your overall opinion of some political figures. First, is your overall opinion of...Ronald Reagan very favorable, mostly favorable, mostly unfavorable or very unfavorable?",nan,Asked of registered Form 1 and 2 (74% of registered),08/1/1988,Gallup Organization,Newsweek Magazine,Gallup/Newsweek Poll,08/18/1988,08/19/1988,Y,Registered Voters,1000,Q4F,Telephone Interview,Form 1 interview was used Thursday 8/18/88 and Forms 2 and 3 were used Friday 8/19/88,66.0,32.0,3.0
